% Title: Reallywritter
%
@RELATION text
@ATTRIBUTE	Chapter	NUMERIC
@ATTRIBUTE	chapter_computer	NUMERIC
@ATTRIBUTE	Classification	{J, E, P, D}
@ATTRIBUTE	Propernouns_computer	NUMERIC
@ATTRIBUTE	hasElohim	{Y, N}
@ATTRIBUTE	Particle_computer	NUMERIC
@ATTRIBUTE	verse_computer	NUMERIC
@ATTRIBUTE	Verse	NUMERIC
@ATTRIBUTE	Prepositions_verb_computer	NUMERIC
@ATTRIBUTE	Prepositions_computer	NUMERIC
@ATTRIBUTE	Genre	{Genealogy, Narrative, Blessing, Law, Covenant}
@ATTRIBUTE	Prepositions_pronoun_computer	NUMERIC
@ATTRIBUTE	hasYHWH	{Y, N}

@DATA
5.0,5.0,P,0.0,N,0.0,11.0,11.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.142857142857,N,0.0,12.0,12.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0714285714286,N,0.0,13.0,13.0,0.0,0.0714285714286,Genealogy,0.0,N
5.0,5.0,P,0.1,N,0.0,14.0,14.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.111111111111,N,0.0,15.0,15.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0714285714286,N,0.0,16.0,16.0,0.0,0.0714285714286,Genealogy,0.0,N
5.0,5.0,P,0.0909090909091,N,0.0,17.0,17.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,18.0,18.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,19.0,19.0,0.0,0.0909090909091,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,20.0,20.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,21.0,21.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0,Y,0.0,22.0,22.0,0.0,0.0769230769231,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,23.0,23.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0,Y,0.0,24.0,24.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.1,N,0.0,25.0,25.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.0666666666667,N,0.0,26.0,26.0,0.0,0.0666666666667,Genealogy,0.0,N
5.0,5.0,P,0.0909090909091,N,0.0,27.0,27.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,J,0.0,N,0.0,28.0,28.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.142857142857,N,0.0,29.0,29.0,0.0,0.0,Genealogy,0.0,Y
5.0,5.0,P,0.0,N,0.0,30.0,30.0,0.0,0.0714285714286,Genealogy,0.0,N
5.0,5.0,P,0.0,N,0.0,31.0,31.0,0.0,0.0,Genealogy,0.0,N
5.0,5.0,P,0.1,N,0.0,32.0,32.0,0.0,0.0,Genealogy,0.0,N
6.0,6.0,J,0.0,N,0.0,1.0,1.0,0.0,0.1,Narrative,0.0,N
6.0,6.0,J,0.0,Y,0.0,2.0,2.0,0.0,0.0714285714286,Narrative,0.0,N
6.0,6.0,J,0.0666666666667,N,0.0,3.0,3.0,0.0,0.0,Narrative,0.0,Y
6.0,6.0,J,0.0,Y,0.0,4.0,4.0,0.0,0.0454545454545,Narrative,0.0,N
6.0,6.0,J,0.0714285714286,N,0.0,5.0,5.0,0.0,0.0,Narrative,0.0,Y
6.0,6.0,J,0.125,N,0.0,6.0,6.0,0.0,0.0,Narrative,0.0,Y
6.0,6.0,J,0.0555555555556,N,0.0,7.0,7.0,0.0,0.0555555555556,Narrative,0.0,Y
6.0,6.0,J,0.166666666667,N,0.166666666667,8.0,8.0,0.0,0.0,Narrative,0.0,Y
6.0,6.0,P,0.166666666667,Y,0.0,9.0,9.0,0.0,0.0,Narrative,0.0,N
6.0,6.0,P,0.125,N,0.0,10.0,10.0,0.0,0.0,Narrative,0.0,N
6.0,6.0,P,0.0,Y,0.0,11.0,11.0,0.0,0.0,Narrative,0.0,N
6.0,6.0,P,0.0,Y,0.0,12.0,12.0,0.0,0.0,Narrative,0.0,N
6.0,6.0,P,0.0666666666667,Y,0.0,13.0,13.0,0.0,0.0,Narrative,0.0,N
